Нет я не бот | ты точно не бот?
Здаров | Привет всем
Ог получила) | Таня а ты мутантов то в итоге забрала?
А когда она пойдёт? | Хз, спросить надо будет
а я последнее время на вайтлисты дискордовские подсел | да, я вот последнюю неделю читаю про нее у друзей унаю
Ну ну | мужик
Хз, спросить надо будет | Там есть тема для девушек
мужик | Ну мне тоже говорили,что я парень
Спасибо бро стараюсь | активничай братух
Там есть тема для девушек | Всм?
да, я вот последнюю неделю читаю про нее у друзей унаю | но и сейчас все равно она стоит внимания, очень перспективная сеть
Она с тренером где обычный фитнес гимнастик и т д | Ага
Всм? | А она как? И на что там
но и сейчас все равно она стоит внимания, очень перспективная сеть | Везде, сейчас думаю солану изучить
А она как? И на что там | Понял, надо попросить рд купить абонемент. Анита кста тоже щас ходить начнёт
вот и мне, намного проще было | мне прям обидно было когда я ее хайп пропустил осенью
Ага | Анита это круто
активничай братух | Фух скорей апнуть
Анита это круто | Понял, надо попросить рд купить абонемент. Анита кста тоже щас ходить начнёт
мне прям обидно было когда я ее хайп пропустил осенью | Везде, сейчас думаю солану изучить
Ого))))) | Понял, надо попросить рд купить абонемент. Анита кста тоже щас ходить начнёт
Понял, надо попросить рд купить абонемент. Анита кста тоже щас ходить начнёт | Ага
не за что
пользуйтесь на здоровье | спасибо
Везде, сейчас думаю солану изучить | хорош, на вайтлистах или везде пытаешься?
спасибо | Здраствуй)
Рады тебя видеть у нас в комьюнити, если ты не знаешь как получить WL чекни тут 😎 <#925537510157869076> так же у нас тут проводяться постоянно розыгрыши <#925537229324050492> ,принимай в них участие не раздумывая,побеждай и следи за результатами в <#936009779913043978> 
Если тебе что то стало не понятно обратись в <#925537767172243476>, Будем рады увидеть твое творчество в <#921814205206765616> и <#921814205395505163> 
Проявляй актив в <#921814206045626439> и <#921814205206765612> 
Дерзай, твори,покаряй новые вершины и помни, границы ты создаёшь себе сам!!!!!
хорош, на вайтлистах или везде пытаешься? | Нормально, я только последний месяц зарабатываю
Нормально, я только последний месяц зарабатываю | с июня 2021, но прям на полноценный заработок в сентябре вышел
Ага | В зал?
В зал? | Сериал смотрю, скоро собираться на треню буду
Понимаю ! | это не потому что мы обидеть хотим!
приятного аппетита | ладно парни я пошел обедать
Давай, приятного аппетита! | ладно парни я пошел обедать
Приятного | ладно парни я пошел обедать
Приятного! | ладно парни я пошел обедать
Сериал смотрю, скоро собираться на треню буду | Ты там чё делаешь вообще?
приятного | ладно парни я пошел обедать
ахахаха,поэтому решил обвинить меня во лжи) | я не видел!
это не потому что мы обидеть хотим! | Ну мне тоже говорили,что я парень
я не видел! | я бы не стала тут про свою инсту писать)
Ты там чё делаешь вообще? | Само собой
Ну мне тоже говорили,что я парень | часто встречались парни косящих под дам
с июня 2021, но прям на полноценный заработок в сентябре вышел | а как давно увлекаешься ей?
справедливо! ) | большую часть времени я общалась со своей подругой, главное,чтобы она верила,что я девушка😂
я бы не стала тут про свою инсту писать) | часто встречались парни косящих под дам
ля так далеко до 12 еще | а мемы обязательно связанные с проектом, или можно по НФТ тематике?
Само собой | Если будет активничать
часто встречались парни косящих под дам | Почему ??
а как давно увлекаешься ей? | спасибо, но там работать не буду, уж очень сильно в крипту затянуло
Если будет активничать | Ты быстро апнешься
большую часть времени я общалась со своей подругой, главное,чтобы она верила,что я девушка😂 | мы те с кем ты общаешься! в принципе это не создает проблемы
спасибо, но там работать не буду, уж очень сильно в крипту затянуло | Хорошее направление, удачи тебе
Почему ?? | к сожалению
Ты быстро апнешься | 2
2016 | я еще в 2014 слышал про нее
к сожалению | Ахахаххаха,чтооо
Хорошее направление, удачи тебе | реклама и PR
потихоньку, помаленьку иду) | А ну нормальненько
пару недель | как давно вы в крипте парни?
мы те с кем ты общаешься! в принципе это не создает проблемы | ахахаха, кто мы? это ваши проблемы)
Ахахаххаха,чтооо | мы до конца не верим что ты девчонка
А ну нормальненько | 2
реклама и PR | а на кого ты учишься?
ахахаха, кто мы? это ваши проблемы) | мы до конца не верим что ты девчонка
2 | Хах, ну удачи тебе с этим! Какой лвл?
а на кого ты учишься? | у меня последние месяцы бакалавра, уже жду недождусь пока кончится это все
ого | у меня последние месяцы бакалавра, уже жду недождусь пока кончится это все
мы до конца не верим что ты девчонка | ахахаха,я просто никогда не вру,поэтому всем кажется,что я токсик)
Хах, ну удачи тебе с этим! Какой лвл? | недавно зашел, адаптируюсь тут)
нам хватит | Сколько ещё мест на ВЛ осталось?
неизвестно | Сколько ещё мест на ВЛ осталось?
ахахаха,я просто никогда не вру,поэтому всем кажется,что я токсик) | ведь ответ известен)
учусь | Кто работает, кто учится?
буду пробовать | Получится, главное думать о хорошем
Учусь | Кто работает, кто учится?
недавно зашел, адаптируюсь тут) | Тоже хорошо, чем занимаешься?
Получится, главное думать о хорошем | ну что-то крутое вряд ли получится, но я постараюсь
Что? | ?!
нет, уже на спокойном | ты уже 21 лвл получил?
Так то да) | интересненько
Тоже хорошо, чем занимаешься? | хорошо, у тебя как?
ну что-то крутое вряд ли получится, но я постараюсь | Это отлично, интересно посмотреть
Спасибо | красава
интересненько | На гос.дело
?! | Не факт
Аа понятно | Просто я их настрогал за часа 2
ты уже 21 лвл получил? | больше - лучше
ведь ответ известен) | к чему такой вопрос?
хорошо, у тебя как? | Как дела у вас вообще?
главное качество) | больше - лучше
Просто я их настрогал за часа 2 | Зачем так много?
понятненько, на кого хочешь? | Год работала и отдыхала)
Не факт | больше - лучше
На гос.дело | куда планируешь поступать?
к чему такой вопрос? | <@!939866847472414751> ты злая?
больше - лучше | Зачем так много?
Год работала и отдыхала) | отдыхаешь?
